#chr	gene_start	gene_end	strand	gene_name	promoter_start	promoter_end
chr1	1849029	1850712	-	TMEM52	1850212	1851712
chr1	1853396	1935276	-	C1orf222	1934776	1936276
chr1	1944652	1946969	-	RP11-547D24.1	1946469	1947969
chr1	1950780	1962192	+	GABRD	1949780	1951280
chr1	1980642	1981509	-	RP11-547D24.3	1981009	1982509
chr1	1981909	2116834	+	PRKCZ	1980909	1982409
chr1	2072523	2076718	-	RP5-892K4.1	2076218	2077718
chr1	2113233	2115828	-	RP11-181G12.2	2115328	2116828
chr1	2115903	2144159	-	C1orf86	2143659	2145159
chr1	2143610	2144013	-	RP11-181G12.5	2143513	2145013
chr1	2143962	2152177	+	RP11-181G12.4	2142962	2144462
chr1	2160134	2241558	+	SKI	2159134	2160634
chr1	2252692	2323146	-	MORN1	2322646	2324146
chr1	2257640	2258132	-	RP4-713A8.1	2257632	2259132
chr1	2281853	2284259	-	RP4-740C4.6	2283759	2285259
chr1	2283083	2283296	-	RP4-740C4.5	2282796	2284296
chr1	2294500	2295067	-	RP4-740C4.7	2294567	2296067
chr1	2306292	2306792	-	RP4-740C4.9	2306292	2307792
chr1	2309056	2309799	-	RP4-740C4.8	2309299	2310799
chr1	2323267	2336883	+	RER1	2322267	2323767
chr1	2336236	2345236	-	PEX10	2344736	2346236
chr1	2357419	2436969	+	PLCH2	2356419	2357919
chr1	2423739	2424697	-	RP3-395M20.2	2424197	2425697
chr1	2424876	2425918	-	RP3-395M20.3	2425418	2426918
chr1	2439972	2458039	-	PANK4	2457539	2459039
chr1	2460184	2461684	-	HES5	2461184	2462684
chr1	2477904	2478899	+	RP3-395M20.12	2476904	2478404
chr1	2481359	2488470	-	RP3-395M20.8	2487970	2489470
chr1	2487078	2496821	+	TNFRSF14	2486078	2487578
chr1	2497849	2501327	+	RP3-395M20.7	2496849	2498349
chr1	2512999	2515972	+	RP3-395M20.9	2511999	2513499
chr1	2517930	2522908	+	FAM213B	2516930	2518430
chr1	2522078	2564481	-	MMEL1	2563981	2565481
chr1	2564007	2568059	+	RP13-436F16.1	2563007	2564507
chr1	2567415	2718286	-	TTC34	2717786	2719286
chr1	2728415	2729257	-	RP11-740P5.2	2728757	2730257
chr1	2730997	2731563	-	RP11-740P5.3	2731063	2732563
chr1	2938046	2939465	+	ACTRT2	2937046	2938546
chr1	2976179	2985001	-	LINC00982	2984501	2986001
chr1	2985732	3355185	+	PRDM16	2984732	2986232
chr1	3049491	3050273	-	RP1-163G9.2	3049773	3051273
chr1	3223200	3226660	-	RP11-22L13.1	3226160	3227660
chr1	3370990	3397677	+	ARHGEF16	3369990	3371490
chr1	3403810	3404191	+	RP11-168F9.2	3402810	3404310
chr1	3406484	3528059	-	MEGF6	3527559	3529059
chr1	3539754	3541307	-	RP11-46F15.2	3540807	3542307
chr1	3541566	3546691	+	TPRG1L	3540566	3542066
chr1	3547331	3569325	-	WRAP73	3568825	3570325
chr1	3569084	3652765	+	TP73	3568084	3569584
chr1	3575502	3585336	-	RP5-1092A11.5	3584836	3586336
chr1	3628764	3630862	-	RP5-1092A11.2	3630362	3631862
chr1	3652548	3663900	-	TP73-AS1	3663400	3664900
chr1	3668962	3688209	+	CCDC27	3667962	3669462
chr1	3689352	3692546	+	SMIM1	3688352	3689852
chr1	3696784	3713068	-	LRRC47	3712568	3714068
chr1	3701572	3702102	+	RP1-286D6.5	3700572	3702072
chr1	3728645	3773778	-	CEP104	3773278	3774778
chr1	3773845	3801993	+	DFFB	3772845	3774345
chr1	3805689	3816857	-	C1orf174	3816357	3817857
chr1	3816936	3833789	+	RP13-15E13.1	3815936	3817436
chr1	4000673	4015322	+	RP13-614K11.1	3999673	4001173
chr1	4007209	4009040	-	RP13-614K11.2	4008540	4010040
chr1	4235588	4235959	-	RP11-374C13.1	4235459	4236959
chr1	4472111	4484747	+	RP5-1166F10.1	4471111	4472611
chr1	4611795	4612205	-	RP1-37J18.1	4611705	4613205
chr1	4631608	4643481	+	RP1-37J18.2	4630608	4632108
chr1	4714792	4852594	+	AJAP1	4713792	4715292
chr1	5146519	5150959	-	RP11-542C10.1	5150459	5151959
chr1	5553038	5554734	+	RP1-58B11.1	5552038	5553538
chr1	5647428	5728355	-	RP11-154H17.1	5727855	5729355
chr1	5922871	6052533	-	NPHP4	6052033	6053533
chr1	6051526	6161253	+	KCNAB2	6050526	6052026
chr1	6161853	6240183	-	CHD5	6239683	6241183
chr1	6241329	6269449	-	RPL22	6268949	6270449
chr1	6264900	6265840	-	RP1-120G22.11	6265340	6266840
chr1	6265535	6281359	+	RNF207	6264535	6266035
chr1	6281253	6296032	-	ICMT	6295532	6297032
chr1	6296300	6299504	+	LINC00337	6295300	6296800
chr1	6304252	6305638	+	HES3	6303252	6304752
chr1	6307406	6321035	-	GPR153	6320535	6322035
chr1	6324329	6454451	-	ACOT7	6453951	6455451
chr1	6453615	6454451	+	RP1-202O8.3	6452615	6454115
chr1	6472478	6484730	-	HES2	6484230	6485730
chr1	6484848	6521430	+	ESPN	6483848	6485348
chr1	6503094	6507066	-	RP1-202O8.2	6506566	6508066
chr1	6521211	6526255	-	TNFRSF25	6525755	6527255
chr1	6526152	6580121	-	PLEKHG5	6579621	6581121
chr1	6581407	6614595	-	NOL9	6614095	6615595
chr1	6607965	6608679	+	RP11-58A11.2	6606965	6608465
chr1	6615241	6639817	+	TAS1R1	6614241	6615741
chr1	6640061	6649340	+	ZBTB48	6639061	6640561
chr1	6650784	6674667	-	KLHL21	6674167	6675667
chr1	6673745	6684093	+	PHF13	6672745	6674245
chr1	6684926	6695646	+	THAP3	6683926	6685426
chr1	6694228	6761984	-	DNAJC11	6761484	6762984
chr1	6784697	6790072	+	RP11-242F24.1	6783697	6785197
chr1	6843952	6844903	-	RP11-312B8.1	6844403	6845903
chr1	6845384	7829766	+	CAMTA1	6844384	6845884
chr1	6894393	6894678	-	RP11-312B8.2	6894178	6895678
chr1	7068436	7074339	-	RP11-334N17.1	7073839	7075339
chr1	7429003	7430331	+	CAMTA1-IT1	7428003	7429503
chr1	7442548	7449814	-	RP3-453P22.2	7449314	7450814
chr1	7501156	7501614	-	RP4-549F15.1	7501114	7502614
chr1	7753184	7754904	-	RP11-338N10.1	7754404	7755904
chr1	7758363	7758932	-	RP11-338N10.2	7758432	7759932
chr1	7760764	7761030	-	RP11-338N10.3	7760530	7762030
chr1	7831329	7841492	+	VAMP3	7830329	7831829
chr1	7836443	7836835	+	RP3-467L1.6	7835443	7836943
chr1	7844380	7905237	+	PER3	7843380	7844880
chr1	7870302	7887402	-	RP3-467L1.4	7886902	7888402
chr1	7903143	7913572	-	UTS2	7913072	7914572
chr1	7979907	8000926	-	TNFRSF9	8000426	8001926
chr1	8002432	8002786	+	RP5-892F13.2	8001432	8002932
chr1	8014351	8045565	+	PARK7	8013351	8014851
chr1	8064464	8086368	-	ERRFI1	8085868	8087368
chr1	8086798	8182762	+	RP11-431K24.1	8085798	8087298
chr1	8117305	8118523	-	CTA-215D11.4	8118023	8119523
chr1	8249884	8252830	+	RP11-431K24.2	8248884	8250384
chr1	8268732	8275270	+	RP11-431K24.3	8267732	8269232
chr1	8278250	8280589	-	RP11-431K24.4	8280089	8281589
chr1	8377886	8404227	+	SLC45A1	8376886	8378386
chr1	8412457	8877702	-	RERE	8877202	8878702
chr1	8484705	8494898	+	RP5-1115A15.1	8483705	8485205
chr1	8572712	8573080	+	RP5-1115A15.2	8571712	8573212
chr1	8810489	8811146	+	RP4-633I8.1	8809489	8810989
chr1	8846270	8846972	-	RP4-633I8.2	8846472	8847972
chr1	8858534	8859565	+	RP4-633I8.3	8857534	8859034
chr1	8865919	8867110	-	RP4-633I8.4	8866610	8868110
chr1	8891066	8891434	+	RP11-185B14.1	8890066	8891566
chr1	8921061	8939308	-	ENO1	8938808	8940308
chr1	8935847	8938066	-	ENO1-IT1	8937566	8939066
chr1	8938894	8939953	+	ENO1-AS1	8937894	8939394
chr1	8953468	8954210	+	HMGN2P17	8952468	8953968
chr1	8967452	8967803	-	RP3-477M7.5	8967303	8968803
chr1	8969801	8969963	+	RP3-477M7.6	8968801	8970301
chr1	9005926	9035151	+	CA6	9004926	9006426
chr1	9063359	9086404	-	SLC2A7	9085904	9087404
chr1	9095166	9148537	-	SLC2A5	9148037	9149537
chr1	9160364	9189229	-	GPR157	9188729	9190229
chr1	9242066	9262678	-	RP3-510D11.1	9262178	9263678
chr1	9242263	9252148	+	RP3-510D11.2	9241263	9242763
chr1	9294834	9331396	+	H6PD	9293834	9295334
chr1	9352939	9429591	+	SPSB1	9351939	9353439
chr1	9561151	9563530	-	RP13-392I16.1	9563030	9564530
chr1	9599541	9645237	+	SLC25A33	9598541	9600041
chr1	9636485	9637043	+	RP13-15M17.1	9635485	9636985
chr1	9648932	9674935	+	TMEM201	9647932	9649432
chr1	9711790	9789172	+	PIK3CD	9710790	9712290
chr1	9712668	9714644	-	C1orf200	9714144	9715644
chr1	9720886	9722684	-	RP11-558F24.2	9722184	9723684
chr1	9732484	9747613	-	RP11-558F24.4	9747113	9748613
chr1	9789084	9884584	-	CLSTN1	9884084	9885584
chr1	9840880	9841298	+	RP11-558F24.6	9839880	9841380
chr1	9908334	9970394	-	CTNNBIP1	9969894	9971394
chr1	9908376	9910212	+	RP11-84A14.5	9907376	9908876
chr1	9982173	10003465	-	LZIC	10002965	10004465
chr1	10002981	10010032	+	RP11-84A14.4	10001981	10003481
chr1	10003486	10045559	+	NMNAT1	10002486	10003986
chr1	10043199	10044626	+	RP11-807G9.2	10042199	10043699
chr1	10057264	10076078	+	RBP7	10056264	10057764
chr1	10092890	10241297	+	UBE4B	10091890	10093390
chr1	10114503	10114839	-	RP11-496H15.2	10114339	10115839
chr1	10118729	10119706	+	PGAM1P11	10117729	10119229
chr1	10270863	10441661	+	KIF1B	10269863	10271363
chr1	10458649	10480201	+	PGD	10457649	10459149
chr1	10489938	10490734	-	RP4-736L20.3	10490234	10491734
chr1	10490159	10512210	+	APITD1	10489159	10490659
chr1	10490159	10512210	+	APITD1-CORT	10489159	10490659
chr1	10509776	10511959	+	CORT	10508776	10510276
chr1	10516579	10532583	-	DFFA	10532083	10533583
chr1	10518612	10519395	+	RP5-1113E3.3	10517612	10519112
chr1	10532345	10690815	+	PEX14	10531345	10532845
chr1	10696661	10856707	-	CASZ1	10856207	10857707
chr1	10699298	10714390	+	RP4-734G22.3	10698298	10699798
chr1	10955818	10956055	+	RP11-340B24.3	10954818	10956318
chr1	11006528	11042094	-	C1orf127	11041594	11043094
chr1	11051035	11051854	-	CFL1P6	11051354	11052854
chr1	11072414	11085796	+	TARDBP	11071414	11072914
chr1	11086580	11107290	-	MASP2	11106790	11108290
chr1	11089716	11090585	+	RP4-635E18.8	11088716	11090216
chr1	11114641	11120081	-	SRM	11119581	11121081
chr1	11126675	11159938	-	EXOSC10	11159438	11160938
chr1	11128528	11133154	+	RP4-635E18.7	11127528	11129028
chr1	11159732	11162157	+	RP4-635E18.6	11158732	11160232
chr1	11166592	11322564	-	MTOR	11322064	11323564
chr1	11203955	11209594	+	MTOR-AS1	11202955	11204455
chr1	11249398	11256038	+	ANGPTL7	11248398	11249898
chr1	11293020	11293169	+	RPL39P6	11292020	11293520
chr1	11333263	11356106	+	UBIAD1	11332263	11333763
chr1	11338673	11339408	-	UBE2V2P3	11338908	11340408
chr1	11485314	11485878	-	RP11-149P14.1	11485378	11486878
chr1	11539223	11597641	+	PTCHD2	11538223	11539723
chr1	11669588	11673412	+	RP1-69M21.2	11668588	11670088
chr1	11708424	11715842	-	FBXO2	11715342	11716842
chr1	11714432	11723384	+	FBXO44	11713432	11714932
chr1	11724181	11734411	+	FBXO6	11723181	11724681
chr1	11734537	11751707	-	MAD2L2	11751207	11752707
chr1	11751786	11785914	+	DRAXIN	11750786	11752286
chr1	11796141	11814859	+	AGTRAP	11795141	11796641
chr1	11821844	11849642	+	C1orf167	11820844	11822344
chr1	11837134	11839676	-	RP11-56N19.5	11839176	11840676
chr1	11845780	11866977	-	MTHFR	11866477	11867977
chr1	11866207	11903201	+	CLCN6	11865207	11866707
chr1	11901074	11908136	+	NPPA-AS1	11900074	11901574
chr1	11905766	11908402	-	NPPA	11907902	11909402
chr1	11917521	11918988	-	NPPB	11918488	11919988
chr1	11937827	11940463	+	RP5-934G17.6	11936827	11938327
chr1	11979648	11986485	-	KIAA2013	11985985	11987485
chr1	11994262	12035595	+	PLOD1	11993262	11994762
chr1	12040238	12073571	+	MFN2	12039238	12040738
chr1	12077273	12077365	-	RP5-1077B9.5	12076865	12078365
chr1	12079523	12092102	+	MIIP	12078523	12080023
chr1	12123434	12204264	+	TNFRSF8	12122434	12123934
chr1	12140350	12140604	-	RP11-426M1.2	12140104	12141604
chr1	12227060	12269285	+	TNFRSF1B	12226060	12227560
chr1	12280851	12281166	-	RP5-1118D24.2	12280666	12282166
chr1	12290124	12572099	+	VPS13D	12289124	12290624
chr1	12587766	12588462	+	RP5-888M10.2	12586766	12588266
chr1	12627939	12677737	-	DHRS3	12677237	12678737
chr1	12678906	12679250	-	RP11-474O21.5	12678750	12680250
chr1	12704566	12727097	+	AADACL4	12703566	12705066
chr1	12752925	12753036	+	RP11-474O21.2	12751925	12753425
chr1	12776118	12788726	+	AADACL3	12775118	12776618
chr1	12806163	12823847	+	C1orf158	12805163	12806663
chr1	12834984	12838049	+	PRAMEF12	12833984	12835484
chr1	12851546	12856777	+	PRAMEF1	12850546	12852046
chr1	12882549	12883022	-	RP5-845O24.8	12882522	12884022
chr1	12884468	12891264	-	PRAMEF11	12890764	12892264
chr1	12897978	12901210	-	RP5-845O24.3	12900710	12902210
chr1	12907261	12908578	-	HNRNPCL1	12908078	12909578
chr1	12916941	12921764	+	PRAMEF2	12915941	12917441
chr1	12939045	12946025	-	PRAMEF4	12945525	12947025
chr1	12952727	12958101	-	PRAMEF10	12957601	12959101
chr1	12976450	12980569	+	PRAMEF7	12975450	12976950
chr1	12985990	12988081	+	RP11-450I1.2	12984990	12986490
chr1	12998181	13117751	-	PRAMEF6	13117251	13118751
chr1	13012966	13015755	-	RP11-450I1.4	13015255	13016755
chr1	13035543	13038381	+	PRAMEF22	13034543	13036043
chr1	13052394	13052998	-	WI2-3308P17.2	13052498	13053998
chr1	13108842	13112679	-	PRAMEF23	13112179	13113679
chr1	13123246	13126086	-	RP13-221M14.6	13125586	13127086
chr1	13140456	13145000	+	PRAMEF25	13139456	13140956
chr1	13146777	13147256	+	RP13-221M14.2	13145777	13147277
chr1	13162645	13165443	-	RP13-221M14.3	13164943	13166443
chr1	13171871	13173157	-	RP13-221M14.4	13172657	13174157
chr1	13182960	13184326	-	HNRNPCP5	13183826	13185326
chr1	13196270	13199067	+	WI2-2994D6.1	13195270	13196770
chr1	13216356	13219581	-	PRAMEF26	13219081	13220581
chr1	13328196	13331692	-	PRAMEF3	13331192	13332692
chr1	13351482	13354323	+	RP11-248D7.2	13350482	13351982
chr1	13359819	13369057	+	PRAMEF5	13358819	13360319
chr1	13379149	13381237	-	RP11-219C24.8	13380737	13382237
chr1	13386646	13390765	-	PRAMEF8	13390265	13391765
chr1	13411551	13414482	+	RP11-219C24.6	13410551	13412051
chr1	13421176	13428191	+	PRAMEF9	13420176	13421676
chr1	13429634	13430113	+	RP11-219C24.10	13428634	13430134
chr1	13447414	13452656	-	PRAMEF13	13452156	13453656
chr1	13474689	13477522	-	PRAMEF18	13477022	13478522
chr1	13495254	13498260	+	PRAMEF16	13494254	13495754
chr1	13516066	13526943	+	PRAMEF21	13515066	13516566
chr1	13607431	13611550	-	XX-FW84067D5.1	13611050	13612550
chr1	13632348	13635279	+	XX-FW84067D5.2	13631348	13632848
chr1	13641973	13648988	+	PRAMEF15	13640973	13642473
chr1	13668269	13673511	-	PRAMEF14	13673011	13674511
chr1	13694889	13698405	-	PRAMEF19	13697905	13699405
chr1	13716092	13719089	+	PRAMEF17	13715092	13716592
chr1	13736907	13747803	+	PRAMEF20	13735907	13737407
chr1	13801445	13840543	-	LRRC38	13840043	13841543
chr1	13839715	13842765	+	RP4-597A16.2	13838715	13840215
chr1	13881496	13882189	+	RP4-597A16.3	13880496	13881996
chr1	13909960	13944452	+	PDPN	13908960	13910460
chr1	13983806	13986405	-	CTA-520D8.2	13985905	13987405
chr1	14026693	14151574	+	PRDM2	14025693	14027193
chr1	14548386	14549613	-	RP11-344F13.1	14549113	14550613
chr1	14675450	14677518	-	RP4-704D23.1	14677018	14678518
chr1	14925200	15444539	+	KAZN	14924200	14925700
chr1	15018625	15019109	-	TBCAP2	15018609	15020109
chr1	15442448	15478960	-	TMEM51-AS1	15478460	15479960
chr1	15479028	15546976	+	TMEM51	15478028	15479528
chr1	15490840	15497813	-	C1orf195	15497313	15498813
chr1	15518324	15519341	-	RP1-21O18.3	15518841	15520341
chr1	15573768	15726779	+	FHAD1	15572768	15574268
chr1	15653176	15670372	-	RP3-467K16.2	15669872	15671372
chr1	15660662	15661960	-	RP3-467K16.7	15661460	15662960
chr1	15729475	15735929	-	RP3-467K16.4	15735429	15736929
chr1	15736391	15756839	+	EFHD2	15735391	15736891
chr1	15764935	15775737	+	CTRC	15763935	15765435
chr1	15783223	15798586	+	CELA2A	15782223	15783723
chr1	15792404	15817895	+	CELA2B	15791404	15792904
chr1	15817327	15853029	-	CASP9	15852529	15854029
chr1	15853308	15918874	+	DNAJC16	15852308	15853808
chr1	15892106	15892451	-	RP4-680D5.8	15891951	15893451
chr1	15898848	15911605	-	AGMAT	15911105	15912605
chr1	15912631	15930121	-	RP4-680D5.2	15929621	15931121
chr1	15931077	15931538	+	CHCHD2P6	15930077	15931577
chr1	15941138	15941362	-	RP4-680D5.4	15940862	15942362
chr1	15943995	15995539	+	DDI2	15942995	15944495
chr1	15986364	15988217	+	RSC1A1	15985364	15986864
chr1	16009368	16009623	-	RP4-680D5.9	16009123	16010623
chr1	16010827	16061264	+	PLEKHM2	16009827	16011327
chr1	16049214	16063391	-	RP11-288I21.1	16062891	16064391
chr1	16062900	16067891	+	SLC25A34	16061900	16063400
chr1	16066546	16076391	-	RP11-169K16.4	16075891	16077391
chr1	16068917	16074477	+	TMEM82	16067917	16069417
chr1	16083102	16113089	+	FBLIM1	16082102	16083602
chr1	16119291	16119780	+	RP11-169K16.6	16118291	16119791
chr1	16133679	16134194	-	RP11-169K16.7	16133694	16135194
chr1	16154724	16155167	+	RP11-169K16.8	16153724	16155224
chr1	16160560	16174642	-	RP11-169K16.9	16174142	16175642
chr1	16174359	16266955	+	SPEN	16173359	16174859
chr1	16244193	16244403	-	RP1-134O19.3	16243903	16245403
chr1	16268364	16302627	-	ZBTB17	16302127	16303627
chr1	16296127	16296689	+	RP11-5P18.1	16295127	16296627
chr1	16314677	16314936	+	RP11-5P18.3	16313677	16315177
chr1	16316366	16321246	+	TBC1D3P6	16315366	16316866
chr1	16330731	16335302	+	C1orf64	16329731	16331231
chr1	16332655	16333166	-	RP11-5P18.5	16332666	16334166
chr1	16340523	16346089	-	HSPB7	16345589	16347089
chr1	16345370	16360545	+	CLCNKA	16344370	16345870
chr1	16361673	16366524	-	RP11-5P18.10	16366024	16367524
chr1	16370272	16383803	+	CLCNKB	16369272	16370772
chr1	16384264	16400127	-	FAM131C	16399627	16401127
chr1	16450832	16482582	-	EPHA2	16482082	16483582
chr1	16481706	16483824	+	RP11-276H7.2	16480706	16482206
chr1	16485761	16488378	+	RP11-276H7.3	16484761	16486261
chr1	16524349	16524852	+	ARHGEF19-AS1	16523349	16524849
chr1	16524349	16539104	-	ARHGEF19	16538604	16540104
chr1	16542404	16554522	-	ANO7P1	16554022	16555522
chr1	16558195	16563657	-	RSG1	16563157	16564657
chr1	16567708	16567893	-	MT1XP1	16567393	16568893
chr1	16573334	16678949	-	FBXO42	16678449	16679949
chr1	16679070	16724640	+	SZRD1	16678070	16679570
chr1	16695645	16696025	-	RP11-430L17.1	16695525	16697025
chr1	16713612	16763919	-	SPATA21	16763419	16764919
chr1	16767167	16786573	+	NECAP2	16766167	16767667
chr1	16787443	16794976	+	RP4-798A10.2	16786443	16787943
chr1	16793931	16825752	-	CROCCP3	16825252	16826752
chr1	16841140	16842249	+	RP4-798A10.7	16840140	16841640
chr1	16847189	16848291	+	RP4-798A10.4	16846189	16847689
chr1	16860381	16862144	-	U1	16861644	16863144
chr1	16875146	16879026	-	RP5-875O13.6	16878526	16880026
chr1	16888814	16940057	-	NBPF1	16939557	16941057
chr1	16943886	16944224	+	RP5-1182A14.5	16942886	16944386
chr1	16944751	16971178	-	CROCCP2	16970678	16972178
chr1	16972069	16976914	+	MST1P2	16971069	16972569
